id,type,text1,text2,text3,text4,text5,notes
bedlamskunkworks_colossus,SHIP,"One man’s irredeemable shitbox is another man’s lifeline. Designed to punch through even the most well fortified blockades, the Colossus Mk. X is perfect for delivering humanitarian aid, or smuggling.

Armed with a smattering of small mounts and a singular fighter bay, the Colossus Mk. X is definitely not meant to be a head-on brawler. Utilizing it’s integrated point defense AI, it makes for a cost-effective PD platform.",,,,,
bedlamskunkworks_atlas,SHIP,"An upgunned jack of all trades hauler, perfect for exploring the fringes of the sector, or for conducting business with unsavory types.

Designed to act as a fleet anchor for those who only seldom and briefly interact with civilized society the Atlas Mk. X is for those who don’t want to compromise betwen logistical capabilites and firepower.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Target profile resembles a phase-enabled hull on a theoretically impossible scale, likely highly unstable. Sensors indicate capital-equivalent weapon loadout in addition to anomalous readings suggesting one or more unknown technology systems. Tactical analysis adjunct cannot determine role of unknown technology. Extreme caution advised.,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,"It doesn't take a detailed survey to ascertain that this is a planet rich in transplutonic ore: the remains of a crude, automated mining-refining operation sprawl like an uncontrolled growth across the surface. It is withered now, the fusion reactors left cold, hundreds of autoforged kiloton teleminer units like dead beetles seemingly swept into drifts by a titanic wind.",,,
